Photo ID;Title;Description;Photo URL;Photo date;Photo height;Photo width;Photo Licence;Album ID;Album name;Source URL;Tags
27747558060.0;Hubble Supernova Bubble Resembles Holiday Ornament;"A delicate sphere of gas, photographed by NASA's Hubble Space Telescope, floats serenely in the depths of space. The pristine shell, or bubble, is the result of gas that is being shocked by the expanding blast wave from a supernova. Called SNR 0509-67.5 (or SNR 0509 for short), the bubble is the visible remnant of a powerful stellar explosion in the Large Magellanic Cloud (LMC), a small galaxy about 160,000 light-years from Earth. 

Ripples in the shell's surface may be caused by either subtle variations in the density of the ambient interstellar gas, or possibly driven from the interior by pieces of the ejecta. The bubble-shaped shroud of gas is 23 light-years across and is expanding at more than 11 million miles per hour (5,000 kilometers per second). 

Astronomers have concluded that the explosion was one of an especially energetic and bright variety of supernovae. Known as Type Ia, such supernova events are thought to result from a white dwarf star in a binary system that robs its partner of material, takes on much more mass than it is able to handle, and eventually explodes. 

Hubble's Advanced Camera for Surveys observed the supernova remnant on Oct. 28, 2006, with a filter that isolates light from glowing hydrogen seen in the expanding shell. These observations were then combined with visible-light images of the surrounding star field that were imaged with Hubble's Wide Field Camera 3 on Nov. 4, 2010. 

With an age of about 400 years as seen from Earth, the supernova might have been visible to southern hemisphere observers around the year 1600. However, there are no known records of a &quot;new star&quot; in the direction of the LMC near that time. A more recent supernova in the LMC, SN 1987A, did catch the eye of Earth viewers and continues to be studied with ground- and space-based telescopes, including Hubble.

For more information, visit:
<a href=""http://hubblesite.org/news_release/news/2010-27"" rel=""nofollow"">hubblesite.org/news_release/news/2010-27</a>

Credit: NASA, ESA, and the Hubble Heritage Team (STScI/AURA)

Acknowledgment: J. Hughes (Rutgers University)";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/e629676d11b91e2b788d6d00d7be9835;2016-07-01;2287.0;2942.0;CC BY;7.21576698597e+16;Hubble Highlights;https://www.flickr.com/photos/nasahubble/27747558060/in/album-72157669859734000;snr0509 hubblespacetelescope hubble nasa space astronomy supernova supernovaremnant largemegallaniccloud lmc snr0509675 interstellargas typeiasupernova
33733503852.0;Hubble Takes Close-up Portrait of Jupiter;"On April 3, 2017, as Jupiter made its nearest approach to Earth in a year, NASA’s Hubble Space Telescope viewed the solar system’s largest planet in all of its up-close glory. At a distance of 415 million miles (668 million kilometers) from Earth, Jupiter offered spectacular views of its colorful, roiling atmosphere, the legendary Great Red Spot, and it smaller companion at farther southern latitudes dubbed “Red Spot Jr.”

The giant planet is now at “opposition,” positioned directly opposite the Sun from the Earth. This means that the Sun, Earth, and Jupiter line up, with Earth sitting between the Sun and the gas giant. Opposition also marks Jupiter’s closest point to us, and the planet appears brighter in the night sky than at any other time in the year.

This positioning allowed a team led by Amy Simon of NASA’s Goddard Space Flight Center in Greenbelt, Maryland, to observe Jupiter using Hubble’s Wide Field Camera 3. Hubble photographed exquisite details in Jupiter’s atmosphere, as small as about 80 miles (129 kilometers) across.

With its immense and powerful storms and hundreds of smaller vortices, the atmosphere of Jupiter is divided into several distinct, colorful bands, parallel to the equator. These bands, with alternating wind motions, are created by differences in the thickness and height of the ammonia ice clouds; the lighter bands rise higher and have thicker clouds than the darker bands. The bands are separated by winds that can reach speeds of up to 400 miles (644 kilometers) per hour.

Jupiter is best known for the Great Red Spot, an anticyclone that has raged for at least 150 years. This famous storm is larger than Earth. However, the Great Red Spot is slowly shrinking — a trend seen since the late 1800s. The reason for this phenomenon is still unknown. Hubble will continue to observe Jupiter in hopes of solving this mysterious riddle.

The images are part of the Outer Planets Atmospheres Legacy program or OPAL. This program provides yearly Hubble global views of the outer planets to look for changes in their storms, winds, and clouds. It began in 2014 with Uranus, and has been studying Jupiter and Neptune since 2015. In 2018, it will begin viewing Saturn. 

The team timed the Hubble observation to coincide with when NASA’s space probe Juno would be near its closest point to Jupiter, so that scientists could get concurrent observations.";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/0806ae5b033c4631798f0c3e858b7853;2017-04-07;985.0;985.0;CC BY;7.21576677179e+16;Hubble's Latest;https://www.flickr.com/photos/nasahubble/33733503852/in/album-72157667717916600;
27415515533.0;Hubble Rocks with a Heavy-Metal Home;"This 10.5-billion-year-old globular cluster, NGC 6496, is home to heavy-metal stars of a celestial kind! The stars comprising this spectacular spherical cluster are enriched with much higher proportions of metals — elements heavier than hydrogen and helium, are in astronomy curiously known as metals — than stars found in similar clusters. 

A handful of these high-metallicity stars are also variable stars, meaning that their brightness fluctuates over time. NGC 6496 hosts a selection of long-period variables — giant pulsating stars whose brightness can take up to, and even over, a thousand days to change — and short-period eclipsing binaries, which dim when eclipsed by a stellar companion. 

The nature of the variability of these stars can reveal important information about their mass, radius, luminosity, temperature, composition, and evolution, providing astronomers with measurements that would be difficult or even impossible to obtain through other methods. 

NGC 6496 was discovered in 1826 by Scottish astronomer James Dunlop. The cluster resides at about 35,000 light-years away in the southern constellation of Scorpius (the Scorpion).

Image credit: ESA/Hubble &amp; NASA; Acknowledgement: Judy Schmidt

Text credit: European Space Agency

View the full press release <a href=""https://www.nasa.gov/image-feature/goddard/2016/hubble-rocks-with-a-heavy-metal-home"" rel=""nofollow"">here</a>.";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/44733c09a567e121d7dfa6808d11b6f2;2016-05-30;1213.0;1280.0;CC BY;7.21576677179e+16;Hubble's Latest;https://www.flickr.com/photos/nasahubble/27415515533/in/album-72157667717916600;ngc6496
28191313931.0;Hubble Views a Stubborn Dwarf Galaxy;"The fuzzy collection of stars seen in this NASA/ESA Hubble Space Telescope image forms an intriguing dwarf galaxy named LEDA 677373, located about 14 million light-years away from us.

Dwarf galaxies are small, faint collections of stars and gas. Their diverse properties make them intriguing objects to astronomers, but their small size means that we can only explore those that lie closest to us, within the Local Group, such as LEDA 677373.

This particular dwarf galaxy contains a plentiful reservoir of gas from which it could form stars. However, it stubbornly refuses to do so. In a bid to find out why, Hubble imaged the galaxy’s individual stars at different wavelengths, a method that allows astronomers to figure out a star’s age. These observations showed that the galaxy has been around for at least six billion years — plenty of time to form more stars. So why has it not done so?

Rather than being stubborn, LEDA 677373 seems to have been the unfortunate victim of a cosmic crime. A nearby giant spiral galaxy, <a href=""https://www.spacetelescope.org/news/heic1403/"" rel=""nofollow"">Messier 83</a>, seems to be stealing gas from the dwarf galaxy, stopping new stars from being born.

Image credit: ESA/Hubble &amp; NASA
Text credit: European Space Agency

View the full press release <a href=""https://www.nasa.gov/image-feature/goddard/2016/hubble-views-a-stubborn-dwarf-galaxy"" rel=""nofollow"">here</a>.";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/5a32e901992960b7259439f0301e05bd;2016-07-04;738.0;1041.0;CC BY;7.21576677179e+16;Hubble's Latest;https://www.flickr.com/photos/nasahubble/28191313931/in/album-72157667717916600;leda677373
35971297530.0;M1;"In 1054, Chinese astronomers took notice of a “guest star” that was, for nearly a month, visible in the daytime sky. The “guest star” they observed was actually a supernova explosion, which gave rise to the Crab Nebula, a six-light-year-wide remnant of the violent event.

With an apparent magnitude of 8.4 and located 6,500 light-years from Earth in the constellation Taurus, the Crab Nebula can be spotted with a small telescope and is best observed in January. The nebula was discovered by English astronomer John Bevis in 1731, and later observed by Charles Messier who mistook it for Halley’s Comet. Messier’s observation of the nebula inspired him to create a catalog of celestial objects that might be mistaken for comets.

This large mosaic of the Crab Nebula was assembled from 24 individual exposures captured by Hubble over three months. The colors in this image do not match exactly what we would see with our eyes but yield insight into the composition of this spectacular stellar corpse. The orange filaments are the tattered remains of the star and consist mostly of hydrogen. The blue in the filaments in the outer part of the nebula represents neutral oxygen. Green is singly ionized sulfur, and red indicates doubly ionized oxygen. These elements were expelled during the supernova explosion.

A rapidly spinning neutron star (the ultra-dense core of the exploded star) is embedded in the center of the Crab Nebula. Electrons whirling at nearly the speed of light around the star’s magnetic field lines produce the eerie blue light in the interior of the nebula. The neutron star, like a lighthouse, ejects twin beams of radiation that make it appear to pulse 30 times per second as it rotates.

For more information about Hubble’s observations of M1, see:
<a href=""http://hubblesite.org/news_release/news/2005-37"" rel=""nofollow"">hubblesite.org/news_release/news/2005-37</a>
<a href=""http://hubblesite.org/news_release/news/2016-26"" rel=""nofollow"">hubblesite.org/news_release/news/2016-26</a>
<a href=""http://hubblesite.org/news_release/news/2002-24"" rel=""nofollow"">hubblesite.org/news_release/news/2002-24</a>
<a href=""http://hubblesite.org/news_release/news/1996-22"" rel=""nofollow"">hubblesite.org/news_release/news/1996-22</a>

Credit: NASA, ESA, J. Hester and A. Loll (Arizona State University)";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/a191e93383b2cb726d6bc296b9dc0b4c;2005-11-28;3864.0;3864.0;CC BY-NC-SA;7.2157687169e+16;Hubble's Messier Catalog;https://www.flickr.com/photos/nasahubble/35971297530/in/album-72157687169041200;messier hubble hubblespacetelescope space nasa crabnebula januarysky taurus messier1 m1 supernova bevis neutronstar supernovaremnant astronomy sn1054 nebula ngc1952
27946756231.0;Astronaut Steven L. Smith;Astronaut Steven L. Smith, payload commander, retrieves a power tool while standing on the mobile foot restraint at the end of the remote manipulator system (RMS). Many of the tools required to service the Hubble Space Telescope are stored on the handrail attached to the RMS visible in the photograph.;https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/0b8df7598dce847c5f86e8872095f322;2016-07-01;2016.0;2048.0;CC BY;7.21576703987e+16;Hubble Servicing Mission 3A;https://www.flickr.com/photos/nasahubble/27946756231/in/album-72157670398668400;hubble hubblespacetelescope nasa servicingmission servicingmission3a sts103
27747553890.0;The Complexity of a Nebula - NGC 5189;"NASA's Hubble Space Telescope photographed a nearby planetary nebula called NGC 5189. The intricate structure of this bright gaseous nebula resembles a glass-blown holiday ornament with a glowing ribbon entwined. Planetary nebulae represent the final brief stage in the life of a medium-sized star like our Sun. While consuming the last of the fuel in its core, the dying star expels a large portion of its outer envelope. This material then becomes heated by the radiation from the stellar remnant and radiates, producing glowing clouds of gas that can show complex structures, as the  ejection of mass from the star is uneven in both time and direction.

A spectacular example of this beautiful complexity is seen in the bluish lobes of NGC 5189. Most of the nebula is knotty and filamentary in its structure. As a result of the mass-loss  process, the planetary nebula has been created with two nested structures, tilted with respect to each other, that expand away from the center in different directions. 

This double bipolar or quadrupolar structure could be explained by the presence of a binary companion orbiting the central star and influencing the pattern of mass ejection during its nebula-producing death throes. The remnant of the central star, having lost much of its mass, now lives its final days as a white dwarf. However, there is no visual candidate for the  possible companion. The bright golden ring that twists and tilts through the image is made up of a large collection of radial filaments and cometary knots. These are usually formed by the combined action of photo-ionizing radiation and stellar winds. 

This image was taken with Hubble's Wide Field Camera 3 on July 6, 2012, in filters tuned to the specific colors of fluorescing sulfur, hydrogen, and oxygen atoms. Broad filters in the visible and near-infrared were used to capture the star colors.

For more information, visit:
<a href=""http://hubblesite.org/news_release/news/2012-49"" rel=""nofollow"">hubblesite.org/news_release/news/2012-49</a>

Credit: NASA, ESA, and the Hubble Heritage Team (STScI/AURA)";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/1ac3144fd62692fb8c56b6dde671465e;2016-07-01;4224.0;3964.0;CC BY;7.21576698597e+16;Hubble Highlights;https://www.flickr.com/photos/nasahubble/27747553890/in/album-72157669859734000;ngc5189 hubblespacetelescope hubble nasa space astronomy nebula planetarynebula
33874042362.0;Starbursts in Virgo;"Despite all efforts, galaxy formation and evolution are still far from being fully understood. Fortunately, the conditions we see within certain galaxies — such as so-called starburst galaxies — can tell us a lot about how they have evolved over time. Starburst galaxies contain a region (or many regions) where stars are forming at such a breakneck rate that the galaxy is eating up its gas supply faster than it can be replenished! 

NGC 4536 is such a galaxy, captured here in beautiful detail by Hubble’s Wide Field Camera 3 (WFC3). Located roughly 50 million light-years away in the constellation of Virgo (the Virgin), it is a hub of extreme star formation. There are several different factors that can lead to such an ideal environment in which stars can form at such a rapid rate. Crucially, there has to be a sufficiently massive supply of gas. This might be acquired in a number of ways — for example by passing very close to another galaxy, in a full-blown galactic collision, or as a result of some event that forces lots of gas into a relatively small space. 

Star formation leaves a few tell-tale fingerprints, so astronomers can tell where stars have been born. We know that starburst regions are rich in gas. Young stars in these extreme environments often live fast and die young, burning extremely hot and exhausting their gas supplies fairly quickly. These stars also emit huge amounts of intense ultraviolet light, which blasts the electrons off any atoms of hydrogen lurking nearby (a process called ionization), leaving behind clouds of ionized hydrogen (known in astronomer-speak as HII regions).";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/55185764dd7f09cc5ef8dccda3644c18;2016-10-26;1159.0;1041.0;CC BY;7.21576677179e+16;Hubble's Latest;https://www.flickr.com/photos/nasahubble/33874042362/in/album-72157667717916600;ngc4536
31451928372.0;A transformation in Virgo;"The constellation of Virgo (the Virgin) is especially rich in galaxies, due in part to the presence of a massive and gravitationally bound collection of over 1300 galaxies called the Virgo Cluster. One particular member of this cosmic community, NGC 4388, is captured in this image, as seen by the Hubble Space Telescope’s Wide Field Camera 3 (WFC3). 

Located some 60 million light-years away, NGC 4388 is experiencing some of the less desirable effects that come with belonging to such a massive galaxy cluster. It is undergoing a transformation, and has taken on a somewhat confused identity. 

While the galaxy’s outskirts appear smooth and featureless, a classic feature of an elliptical galaxy, its center displays remarkable dust lanes constrained within two symmetric spiral arms, which emerge from the galaxy’s glowing core — one of the obvious features of a spiral galaxy. Within the arms, speckles of bright blue mark the locations of young stars, indicating that NGC 4388 has hosted recent bursts of star formation. 

Despite the mixed messages, NGC 4388 is classified as a spiral galaxy. Its unusual combination of features are thought to have been caused by interactions between NGC 4388 and the Virgo Cluster. Gravitational interactions — from glancing blows to head-on collisions, tidal influencing, mergers, and galactic cannibalism — can be devastating to galaxies. While some may be lucky enough to simply suffer a distorted spiral arm or newly triggered wave of star formation, others see their structure and contents completely and irrevocably altered.";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/e18f006de6f029289c4307164285111a;2016-12-05;733.0;1041.0;CC BY;7.21576677179e+16;Hubble's Latest;https://www.flickr.com/photos/nasahubble/31451928372/in/album-72157667717916600;ngc4388
32274594653.0;Astronomical cooperation;"The events surrounding the Big Bang were so cataclysmic that they left an indelible imprint on the fabric of the cosmos. We can detect these scars today by observing the oldest light in the universe. As it was created nearly 14 billion years ago, this light — which exists now as weak microwave radiation and is thus named the cosmic microwave background (CMB) — has now expanded to permeate the entire cosmos, filling it with detectable photons. 

The CMB can be used to probe the cosmos via something known as the Sunyaev-Zel’dovich (SZ) effect, which was first observed over 30 years ago. We detect the CMB here on Earth when its constituent microwave photons travel to us through space. On their journey to us, they can pass through galaxy clusters that contain high-energy electrons. These electrons give the photons a tiny boost of energy. Detecting these boosted photons through our telescopes is challenging but important — they can help astronomers to understand some of the fundamental properties of the universe, such as the location and distribution of dense galaxy clusters. 

The Hubble Space Telescope observed one of most massive known galaxy clusters, RX J1347.5–1145, seen in this image, as part of the Cluster Lensing And Supernova survey with Hubble (CLASH). This observation of the cluster, 5 billion light-years from Earth, helped the  Atacama Large Millimeter/submillimeter Array (ALMA) in Chile to study the cosmic microwave background using the thermal Sunyaev-Zel’dovich effect. The observations made with ALMA are visible as the blue-purple hues.";https://www.datastro.eu/api/v2/catalog/datasets/nasahubble/files/2dbf9ba8eda4e82d56fa73713b6e8399;2017-02-14;971.0;1041.0;CC BY;7.21576677179e+16;Hubble's Latest;https://www.flickr.com/photos/nasahubble/32274594653/in/album-72157667717916600;rxj13475‚Äì1145
